,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
331,thessalon,46.25,-83.57,39.2,80,90,19.39,CA,1602907471
332,great falls,47.5,-111.3,39.2,79,90,29.97,US,1602907471
333,guaruja,-23.99,-46.26,59.0,82,75,10.29,BR,1602907471
334,launceston,-41.45,147.17,50.0,87,90,21.92,AU,1602907471
335,huarmey,-10.07,-78.15,62.55,86,75,5.32,PE,1602907472
336,ekhabi,53.51,142.97,43.68,59,1,13.11,RU,1602907472
337,huilong,31.81,121.66,69.01,58,0,1.99,CN,1602907472
338,college,64.86,-147.8,19.4,57,40,8.05,US,1602907472
339,bunol,39.42,-0.78,53.01,80,34,4.54,ES,1602907472
340,moron,-34.65,-58.62,70.0,76,0,5.01,AR,1602907193
341,parral,26.93,-105.67,59.59,55,0,7.83,MX,1602907472
342,mecca,21.43,39.83,82.44,15,0,6.71,SA,1602907472
343,asau,46.43,26.4,52.0,98,100,1.3,RO,1602907473
344,mayo,38.89,-76.51,52.0,87,90,5.82,US,1602907473
345,payo,-3.75,103.64,92.41,50,93,2.33,ID,1602907473
346,penzance,50.12,-5.54,53.01,87,42,8.05,GB,1602907473
347,zyryanka,65.75,150.85,29.57,98,100,9.26,RU,1602907473
348,guerrero negro,27.98,-114.06,72.86,72,0,10.98,MX,1602907473
349,karlstad,59.38,13.5,30.2,100,0,6.46,SE,1602907473
350,vallenar,-28.57,-70.76,59.92,46,0,0.74,CL,1602907473
351,coahuayana,18.73,-103.68,79.68,89,100,1.59,MX,1602907473
352,tilichiki,60.47,166.1,37.27,76,29,5.23,RU,1602907474
353,rantepao,-2.97,119.9,69.33,90,100,0.56,ID,1602907474
354,hami,42.8,93.45,57.43,29,0,8.23,CN,1602907474
355,sri madhopur,27.47,75.6,86.65,16,0,8.14,IN,1602907474
356,kazerun,29.62,51.65,70.88,19,0,3.83,IR,1602907474
357,datong,40.09,113.29,55.65,33,0,11.54,CN,1602907474
358,muriwai beach,-36.82,174.45,63.0,54,0,4.0,NZ,1602907389
359,cachoeira do sul,-30.04,-52.89,56.5,90,0,7.23,BR,1602907380
360,flinders,-34.58,150.86,75.0,72,100,5.99,AU,1602907475
361,tabuk,17.42,121.44,79.47,83,100,2.75,PH,1602907475
362,inta,66.03,60.17,27.32,98,100,13.27,RU,1602907475
363,yarmouth,41.71,-70.23,59.0,87,90,9.17,US,1602907475
364,ganzhou,28.82,115.43,64.15,73,97,6.89,CN,1602907475
365,yarkovo,57.4,67.08,45.52,93,100,7.18,RU,1602907476
366,labuan,5.28,115.24,84.2,74,20,3.36,MY,1602907476
367,channel-port aux basques,47.57,-59.14,50.61,78,6,15.48,CA,1602907476
368,camacha,33.08,-16.33,64.4,72,20,2.48,PT,1602907476
369,san policarpo,12.18,125.51,83.7,79,65,8.63,PH,1602907476
370,tocopilla,-22.09,-70.2,62.89,56,6,0.76,CL,1602907476
371,teahupoo,-17.83,-149.27,78.8,74,75,9.17,PF,1602907476
372,high level,58.52,-117.14,19.4,79,75,6.93,CA,1602907476
373,fort saint james,54.43,-124.25,26.46,96,1,0.54,CA,1602907477
374,mareeba,-17.0,145.43,86.0,48,0,13.87,AU,1602907477
375,verkh-usugli,52.7,115.17,31.59,68,1,7.36,RU,1602907477
376,manokwari,-0.87,134.08,85.37,66,100,6.29,ID,1602907477
377,san patricio,28.02,-97.52,62.6,88,90,10.29,US,1602907477
378,davila,18.47,120.58,91.4,55,75,5.82,PH,1602907477
379,la ronge,55.1,-105.28,24.8,68,90,14.99,CA,1602907478
380,borogontsy,62.67,131.17,21.06,95,100,4.74,RU,1602907478
381,bodden town,19.28,-81.25,84.2,79,20,6.93,KY,1602907478
382,tornio,65.85,24.15,32.0,79,100,1.12,FI,1602907478
383,bubaque,11.28,-15.83,81.93,87,97,10.87,GW,1602907478
